id	label	description	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Citations>	score<Journal impact factor>
207	The potential for underutilized crops to improve security of food production	<table><tr><td>Journal:</td><td>NBER MACROECONOMICS ANNUAL</td></tr><tr><td>ISSN:</td><td>0889-3365</td></tr><tr></tr></table>	-1.0223	-0.377	1	19	51	33	0
208	Current challenges and future perspectives of plant and agricultural biotechnology	<table><tr><td>Journal:</td><td>OR SPECTRUM</td></tr><tr><td>ISSN:</td><td>0171-6468</td></tr><tr></tr></table>	1.0307	-0.7587	3	11	27	32	0.562
209	"Indigenous African fermented dairy products: Processing technology, microbiology and health benefits"	<table><tr><td>Journal:</td><td>R & D MANAGEMENT</td></tr><tr><td>ISSN:</td><td>0033-6807</td></tr><tr></tr></table>	0.3873	0.3229	2	27	55	32	0.597
210	Dolichos Lablab-an underutilized crop with future potentials for food and nutrition security: a review	<table><tr><td>Journal:</td><td>JOURNAL OF INTERNATIONAL MARKETING</td></tr><tr><td>ISSN:</td><td>1069-031X</td></tr><tr></tr></table>	0.8652	0.263	4	25	55	32	0.95
211	Water Security in the Galápagos: Socioecological Determinants and Health Implications	<table><tr><td>Journal:</td><td>ECONOMIC HISTORY REVIEW</td></tr><tr><td>ISSN:</td><td>0013-0117</td></tr><tr></tr></table>	-0.4553	0.2142	1	30	38	32	1.171
212	The three main monotheistic religions and gm food technology: an overview of perspectives	<table><tr><td>Journal:</td><td>EXPERIMENTAL ECONOMICS</td></tr><tr><td>ISSN:</td><td>1386-4157</td></tr><tr></tr></table>	-0.5396	-0.2858	1	12	23	32	1.128
213	The development of property rights in biotechnology	<table><tr><td>Journal:</td><td>RESEARCH-TECHNOLOGY MANAGEMENT</td></tr><tr><td>ISSN:</td><td>0895-6308</td></tr><tr></tr></table>	0.5417	0.2044	2	19	24	30	0.476
214	Genetically engineered plants in the product development pipeline in India	<table><tr><td>Journal:</td><td>REVIEW OF INDUSTRIAL ORGANIZATION</td></tr><tr><td>ISSN:</td><td>0889-938X</td></tr><tr></tr></table>	-0.3556	-0.1234	1	21	25	29	0.411
215	"Marama bean [ Tylosema esculentum (Burch.) A. Schreib.]: an indigenous plant with potential for food, nutrition, and economic sustainability"	<table><tr><td>Journal:</td><td>JOURNAL OF ORGANIZATIONAL CHANGE MANAGEMENT</td></tr><tr><td>ISSN:</td><td>0953-4814</td></tr><tr></tr></table>	0.6277	0.8748	2	13	29	29	0.36
216	Teaching Shrimps Self-Defense to Fight Infections	<table><tr><td>Journal:</td><td>JOURNAL OF AGRICULTURAL ECONOMICS</td></tr><tr><td>ISSN:</td><td>0021-857X</td></tr><tr></tr></table>	-0.2288	-0.1592	1	14	18	29	1
217	Future societal issues in industrial biotechnology	<table><tr><td>Journal:</td><td>JOURNAL OF FORECASTING</td></tr><tr><td>ISSN:</td><td>0277-6693</td></tr><tr></tr></table>	-0.5912	-0.3458	1	18	28	28	0.4
218	Options to Reform the European Union Legislation on GMOs: Scope and Definitions	<table><tr><td>Journal:</td><td>SCOTTISH JOURNAL OF POLITICAL ECONOMY</td></tr><tr><td>ISSN:</td><td>0036-9292</td></tr><tr></tr></table>	-0.5677	0.1369	1	25	29	25	0.343
219	A Multidisciplinary Perspective of Ultra-Processed Foods and Associated Food Processing Technologies: A View of the Sustainable Road Ahead	<table><tr><td>Journal:</td><td>ORGANIZATIONAL DYNAMICS</td></tr><tr><td>ISSN:</td><td>0090-2616</td></tr><tr></tr></table>	0.5844	0.6058	2	21	37	24	0.345
220	Position of the American Dietetic Association: Food and Water Safety	<table><tr><td>Journal:</td><td>ECONOMIC POLICY</td></tr><tr><td>ISSN:</td><td>0266-4658</td></tr><tr></tr></table>	-0.619	0.0267	1	36	46	24	1.281
221	The emerging role of metallic nanoparticles in food	<table><tr><td>Journal:</td><td>AMERICAN JOURNAL OF ECONOMICS AND SOCIOLOGY</td></tr><tr><td>ISSN:</td><td>0002-9246</td></tr><tr></tr></table>	-0.4776	0.1525	1	24	24	24	0.192
222	The contribution of microbial biotechnology to economic growth and employment creation	<table><tr><td>Journal:</td><td>INTERNATIONAL MARKETING REVIEW</td></tr><tr><td>ISSN:</td><td>0265-1335</td></tr><tr></tr></table>	0.5184	0.2071	4	19	30	23	0.508
223	"Natural Sweeteners: The Relevance of Food Naturalness for Consumers, Food Security Aspects, Sustainability and Health Impacts"	<table><tr><td>Journal:</td><td>FISCAL STUDIES</td></tr><tr><td>ISSN:</td><td>0143-5671</td></tr><tr></tr></table>	-0.4815	0.1466	1	25	29	23	0.439
224	Microbial protein: future sustainable food supply route with low environmental footprint	<table><tr><td>Journal:</td><td>ECONOMETRIC REVIEWS</td></tr><tr><td>ISSN:</td><td>0747-4938</td></tr><tr></tr></table>	-0.8201	-0.3436	1	17	37	23	0.711
225	"Unauthorized Food Manipulation as a Criminal Offense: Food Authenticity, Legal Frameworks, Analytical Tools and Cases"	<table><tr><td>Journal:</td><td>INTERNATIONAL JOURNAL OF MANAGEMENT REVIEWS</td></tr><tr><td>ISSN:</td><td>1460-8545</td></tr><tr></tr></table>	0.6475	0.4347	2	23	32	23	1.5
226	Climate change and sustainable food production	<table><tr><td>Journal:</td><td>BUSINESS HISTORY</td></tr><tr><td>ISSN:</td><td>0007-6791</td></tr><tr></tr></table>	-0.4753	0.2816	1	30	42	21	0.62
227	From fingerprinting to kinetics in evaluating food quality changes	<table><tr><td>Journal:</td><td>MACROECONOMIC DYNAMICS</td></tr><tr><td>ISSN:</td><td>1365-1005</td></tr><tr></tr></table>	-0.9373	-0.4279	1	14	28	20	0.453
228	Attitudes of Agricultural Experts Toward Genetically Modified Crops: A Case Study in Southwest Iran	<table><tr><td>Journal:</td><td>MANCHESTER SCHOOL</td></tr><tr><td>ISSN:</td><td>1463-6786</td></tr><tr></tr></table>	-0.6248	0.1061	1	27	31	20	0.153
229	An Historical Perspective from the Green Revolution to the Gene Revolution	<table><tr><td>Journal:</td><td>NEW TECHNOLOGY WORK AND EMPLOYMENT</td></tr><tr><td>ISSN:</td><td>0268-1072</td></tr><tr></tr></table>	0.0086	0.5152	2	26	30	19	0.857
230	Food security and women's roles in Moroccan Berber (Amazigh) society today	<table><tr><td>Journal:</td><td>REVIEW OF WORLD ECONOMICS</td></tr><tr><td>ISSN:</td><td>1610-2878</td></tr><tr></tr></table>	-0.7711	-0.2598	1	11	26	19	0.382
231	"Need for an “Integrated Safety Assessment” of GMOs, Linking Food Safety and Environmental Considerations"	<table><tr><td>Journal:</td><td>ENTERPRISE & SOCIETY</td></tr><tr><td>ISSN:</td><td>1467-2227</td></tr><tr></tr></table>	-0.4794	0.2506	1	27	35	14	0.475
232	Qualitative and Nutritional Improvement of Cereal-Based Foods and Beverages	<table><tr><td>Journal:</td><td>BUSINESS HISTORY REVIEW</td></tr><tr><td>ISSN:</td><td>0007-6805</td></tr><tr></tr></table>	-0.4779	0.2449	1	28	36	10	0.679
